	app_id	app_name	review_id	language	timestamp_created	timestamp_updated	recommended	votes_helpful	votes_funny	weighted_vote_score	comment_count	steam_purchase	received_for_free	written_during_early_access	author.steamid	author.num_games_owned	author.num_reviews	author.playtime_forever	author.playtime_last_two_weeks	author.playtime_at_review	author.last_played
34	292030	The Witcher 3: Wild Hunt	85176249	brazilian	1611366524	1611366524	True	0	0	0.0	0	True	False	False	76561198957873353	32	1	2888.0	1475.0	2888.0	1611366020.0
35	292030	The Witcher 3: Wild Hunt	85176128	polish	1611366350	1611366350	True	0	0	0.0	0	True	False	False	76561198222661132	19	3	4245.0	3270.0	4245.0	1611358690.0
36	292030	The Witcher 3: Wild Hunt	85175979	koreana	1611366159	1611366159	True	0	0	0.0	0	True	False	False	76561198830132881	19	1	3581.0	0.0	3581.0	1559799898.0
37	292030	The Witcher 3: Wild Hunt	85175638	schinese	1611365564	1611365564	True	0	0	0.0	0	True	False	False	76561198885418101	15	5	11004.0	821.0	11004.0	1610885956.0
38	292030	The Witcher 3: Wild Hunt	85175587	polish	1611365490	1611365490	True	0	0	0.0	0	True	False	False	76561199041017996	2	1	2868.0	1740.0	2775.0	1611371056.0
39	292030	The Witcher 3: Wild Hunt	85174926	english	1611364401	1611364470	True	0	0	0.0	0	True	False	False	76561198020027165	208	105	497.0	370.0	398.0	1611370493.0
40	292030	The Witcher 3: Wild Hunt	85174737	english	1611364088	1611364088	True	0	0	0.0	0	True	False	False	76561199001673284	111	11	8068.0	0.0	8068.0	1597493874.0
41	292030	The Witcher 3: Wild Hunt	85173767	turkish	1611362536	1611364881	True	0	0	0.0	0	False	False	False	76561198316530785	217	34	6841.0	2077.0	6841.0	1611364268.0
42	292030	The Witcher 3: Wild Hunt	85173685	turkish	1611362375	1611362375	True	0	0	0.0	0	True	False	False	76561198144057310	12	2	1205.0	1205.0	1160.0	1611363407.0
43	292030	The Witcher 3: Wild Hunt	85173023	brazilian	1611361229	1611361229	True	0	0	0.0	0	True	False	False	76561198141110905	59	4	20193.0	3692.0	20193.0	1611297095.0
44	292030	The Witcher 3: Wild Hunt	85172993	spanish	1611361186	1611361186	True	0	0	0.0	0	True	False	False	76561198078482139	78	10	3919.0	160.0	3919.0	1611279750.0
45	292030	The Witcher 3: Wild Hunt	85172984	english	1611361171	1611361171	True	0	0	0.0	0	False	False	False	76561198033304276	47	14	3159.0	0.0	3159.0	1524274341.0
46	292030	The Witcher 3: Wild Hunt	85172769	english	1611360805	1611360805	True	0	0	0.0	0	True	False	False	76561198116559597	44	7	974.0	537.0	861.0	1611367610.0
47	292030	The Witcher 3: Wild Hunt	85172618	turkish	1611360594	1611360594	True	0	0	0.0	0	True	False	False	76561198246626952	206	26	3929.0	41.0	3929.0	1610812539.0
48	292030	The Witcher 3: Wild Hunt	85172417	brazilian	1611360271	1611360271	True	0	0	0.0	0	True	False	False	76561198107351100	60	5	2104.0	2037.0	1882.0	1611386289.0
49	292030	The Witcher 3: Wild Hunt	85171080	french	1611358240	1611358240	True	0	0	0.0	0	True	False	False	76561198150433984	4	2	3664.0	3664.0	3664.0	1611184644.0
50	292030	The Witcher 3: Wild Hunt	85170596	english	1611357533	1611357533	True	0	0	0.0	0	True	False	False	76561198299050034	89	6	25.0	0.0	25.0	1578016131.0
51	292030	The Witcher 3: Wild Hunt	85170497	schinese	1611357379	1611357430	True	0	0	0.0	0	True	False	False	76561199039857291	8	5	10699.0	0.0	10699.0	1610063842.0
52	292030	The Witcher 3: Wild Hunt	85170453	english	1611357290	1611357290	True	0	1	0.0	0	True	False	False	76561198080678414	287	4	303.0	94.0	303.0	1611284935.0
53	292030	The Witcher 3: Wild Hunt	85170372	german	1611357157	1611357157	True	0	0	0.0	0	True	False	False	76561198181483795	31	2	9003.0	1832.0	9003.0	1611357116.0
